H,AVG,HR,RBI,SLG,OBP,Inducted
1246,0.242,95,471,0.367,0.290,N
1177,0.273,37,479,0.362,0.336,N
1383,0.280,52,619,0.382,0.328,N
1178,0.250,18,420,0.342,0.354,N
1401,0.282,38,561,0.385,0.373,N
1397,0.274,67,438,0.386,0.314,N
1239,0.257,123,589,0.396,0.320,N
1370,0.267,64,489,0.375,0.297,N
1531,0.302,130,735,0.447,0.367,N
1304,0.271,202,792,0.462,0.341,N
1366,0.273,262,925,0.496,0.368,N
1301,0.287,40,382,0.385,0.339,N
1459,0.271,62,467,0.383,0.307,N
1217,0.272,132,636,0.423,0.369,N
1187,0.262,122,513,0.406,0.354,N
1979,0.331,127,1299,0.505,0.388,Y
1693,0.309,156,1068,0.497,0.356,N
969,0.265,80,422,0.392,0.329,N
1042,0.254,146,618,0.424,0.322,N
1311,0.262,23,430,0.321,0.325,N
1461,0.278,35,391,0.366,0.342,N
1432,0.266,34,390,0.335,0.299,N
1382,0.265,15,564,0.339,0.292,N
1682,0.307,65,874,0.438,0.369,N
1323,0.271,79,616,0.390,0.384,N
1222,0.275,42,448,0.375,0.333,N
1342,0.266,144,723,0.411,0.312,N
1047,0.256,125,528,0.423,0.339,N
1524,0.298,128,654,0.445,0.359,N
1253,0.261,208,782,0.438,0.366,N
1484,0.284,22,395,0.351,0.363,N
1044,0.264,41,394,0.361,0.314,N
1092,0.252,39,404,0.326,0.316,N
1002,0.252,159,560,0.426,0.335,N
1268,0.249,49,541,0.337,0.290,N
1423,0.281,118,679,0.427,0.339,N
1571,0.283,21,426,0.358,0.334,N
1561,0.269,31,758,0.357,0.323,N
1160,0.290,52,477,0.404,0.341,N
748,0.217,6,252,0.259,0.293,N
1558,0.292,113,701,0.410,0.346,N
1153,0.278,99,475,0.413,0.366,N
1588,0.286,9,394,0.353,0.343,N
989,0.271,52,388,0.367,0.371,N
1284,0.274,170,699,0.452,0.358,N
1219,0.256,241,716,0.466,0.335,N
1049,0.249,40,352,0.333,0.315,N
1302,0.252,251,815,0.453,0.287,N
1747,0.313,229,936,0.521,0.361,N
1051,0.225,268,782,0.448,0.324,N
1252,0.261,136,609,0.404,0.340,N
1342,0.269,34,477,0.342,0.300,N
1446,0.279,84,818,0.428,0.368,N
1482,0.284,42,727,0.381,0.364,N
1726,0.303,25,900,0.381,0.364,N
1747,0.311,103,779,0.449,0.351,Y
1463,0.279,199,929,0.460,0.369,N
1557,0.295,74,613,0.404,0.375,N
1486,0.274,133,728,0.399,0.315,N
1131,0.259,68,446,0.356,0.344,N
1173,0.259,95,570,0.382,0.313,N
1168,0.257,122,576,0.396,0.343,N
1366,0.258,21,308,0.327,0.329,N
1508,0.302,105,712,0.461,0.392,N
1252,0.279,26,530,0.377,0.386,N
1269,0.263,16,494,0.337,0.316,N
1516,0.280,42,571,0.372,0.317,N
1565,0.291,34,486,0.386,0.334,N
1500,0.296,65,585,0.398,0.326,N
1251,0.269,136,591,0.415,0.330,N
1417,0.263,19,738,0.336,0.307,N
1477,0.287,207,792,0.466,0.353,N
1366,0.266,84,497,0.373,0.354,N
1540,0.297,215,909,0.486,0.366,N
1866,0.325,58,632,0.462,0.397,Y
1813,0.308,69,950,0.438,0.375,Y
1412,0.291,139,684,0.443,0.359,N
1720,0.306,20,743,0.389,0.416,N
1507,0.275,49,796,0.397,0.337,N
1454,0.282,184,821,0.455,0.333,N
1566,0.295,58,796,0.419,0.331,N
1335,0.264,166,751,0.417,0.327,N
1399,0.289,142,661,0.445,0.371,N
1122,0.279,36,329,0.364,0.315,N
1312,0.308,77,647,0.430,0.369,N
1518,0.284,38,793,0.384,0.333,N
1194,0.265,53,543,0.351,0.328,N
1471,0.271,33,552,0.371,0.317,N
1678,0.298,65,694,0.415,0.347,N
1759,0.311,39,617,0.393,0.362,N
1325,0.260,275,851,0.476,0.345,N
1302,0.251,155,722,0.403,0.322,N
1593,0.289,126,663,0.421,0.344,N
1138,0.270,187,702,0.458,0.370,N
1242,0.275,4,534,0.332,0.365,N
972,0.246,75,404,0.362,0.309,N
1660,0.295,61,499,0.397,0.327,N
1313,0.255,319,1008,0.482,0.345,N
1106,0.242,81,524,0.353,0.311,N
1537,0.290,7,299,0.333,0.413,N
1273,0.254,310,965,0.494,0.359,N
1127,0.258,166,641,0.438,0.300,N
1714,0.311,83,821,0.450,0.357,N
1451,0.279,369,1015,0.548,0.398,Y
1341,0.285,173,812,0.464,0.332,N
1519,0.284,198,768,0.462,0.336,N
1415,0.283,202,805,0.466,0.377,N
1068,0.259,93,460,0.385,0.359,N
1834,0.311,106,851,0.463,0.392,N
1591,0.268,38,531,0.352,0.303,N
1617,0.279,22,403,0.343,0.322,N
1168,0.245,13,282,0.288,0.290,N
1652,0.320,119,832,0.478,0.419,Y
1375,0.267,42,609,0.370,0.351,N
1046,0.269,28,369,0.350,0.346,N
1429,0.273,39,370,0.347,0.368,N
1752,0.313,48,756,0.445,0.389,Y
1176,0.254,63,514,0.355,0.309,N
1377,0.273,114,601,0.415,0.338,N
1811,0.281,113,585,0.403,0.346,N
1132,0.241,245,732,0.449,0.369,N
1771,0.289,122,908,0.461,0.374,N
1546,0.278,46,435,0.368,0.335,N
1317,0.272,15,389,0.334,0.308,N
1482,0.277,239,950,0.492,0.388,N
1142,0.256,42,377,0.345,0.291,N
1313,0.264,113,628,0.386,0.314,N
1359,0.259,7,520,0.327,0.328,N
1120,0.273,51,549,0.388,0.360,N
1370,0.259,20,445,0.335,0.329,N
1173,0.273,57,405,0.374,0.324,N
1645,0.284,155,730,0.429,0.324,N
1207,0.258,25,386,0.326,0.351,N
1311,0.271,84,595,0.390,0.321,N
1402,0.267,143,696,0.416,0.354,N
1563,0.289,44,702,0.405,0.336,N
1422,0.281,54,402,0.378,0.343,N
1332,0.282,44,503,0.398,0.332,N
1491,0.268,45,438,0.347,0.307,N
1274,0.274,79,476,0.379,0.327,N
1490,0.264,6,451,0.326,0.329,N
1142,0.258,77,456,0.367,0.318,N
1439,0.265,211,807,0.447,0.328,N
1527,0.287,260,864,0.491,0.337,N
1407,0.268,93,547,0.378,0.330,N
1634,0.272,21,769,0.348,0.325,N
1532,0.284,146,744,0.425,0.357,N
1270,0.238,97,640,0.352,0.290,N
1753,0.296,42,719,0.407,0.388,N
1418,0.284,15,530,0.374,0.359,N
1620,0.293,328,1064,0.523,0.383,N
1450,0.271,28,574,0.350,0.347,N
1206,0.262,60,487,0.360,0.325,N
1243,0.248,117,500,0.377,0.298,N
1487,0.265,25,653,0.344,0.305,N
1458,0.272,164,676,0.429,0.358,N
877,0.247,90,431,0.370,0.319,N
977,0.258,51,392,0.368,0.325,N
1309,0.257,7,476,0.313,0.323,N
1543,0.284,123,739,0.426,0.339,N
1303,0.286,91,458,0.410,0.339,N
1695,0.273,259,908,0.467,0.321,N
1589,0.273,271,860,0.485,0.331,N
1358,0.284,32,621,0.370,0.336,N
1570,0.276,163,852,0.441,0.338,N
1723,0.303,52,799,0.405,0.347,N
1631,0.313,136,859,0.483,0.392,N
1229,0.249,228,760,0.446,0.340,N
1361,0.280,62,435,0.388,0.349,N
1529,0.262,104,708,0.383,0.303,N
1120,0.236,7,267,0.288,0.327,N
1534,0.277,32,675,0.365,0.319,N
1515,0.283,253,970,0.490,0.386,Y
1711,0.299,128,951,0.434,0.348,N
1393,0.247,156,680,0.399,0.292,N
1482,0.269,61,549,0.374,0.359,N
1618,0.300,215,898,0.480,0.370,N
1149,0.304,31,438,0.389,0.355,N
1334,0.274,107,550,0.409,0.322,N
1375,0.254,320,950,0.489,0.358,N
1478,0.282,100,658,0.396,0.360,N
1324,0.258,197,708,0.436,0.320,N
1726,0.295,381,1239,0.564,0.369,N
1701,0.295,93,927,0.415,0.343,N
1432,0.261,53,484,0.342,0.295,N
1415,0.254,106,556,0.366,0.313,N
1281,0.255,256,796,0.471,0.358,N
1211,0.246,46,439,0.341,0.324,N
1424,0.277,164,703,0.439,0.346,N
1453,0.271,162,745,0.420,0.326,N
1307,0.256,193,757,0.435,0.341,N
1379,0.262,144,740,0.398,0.316,N
1468,0.264,179,810,0.427,0.311,N
1606,0.275,60,977,0.381,0.371,N
1588,0.276,135,794,0.424,0.357,N
1818,0.324,181,997,0.532,0.383,N
1352,0.251,210,773,0.420,0.332,N
1227,0.250,146,599,0.387,0.307,N
1349,0.257,56,458,0.341,0.317,N
1060,0.241,201,674,0.429,0.388,N
1503,0.277,171,754,0.431,0.350,N
1188,0.262,251,824,0.485,0.339,N
1485,0.286,103,615,0.413,0.350,N
2066,0.312,23,977,0.392,0.351,Y
1564,0.275,51,912,0.383,0.337,N
1806,0.299,26,968,0.385,0.351,N
1342,0.254,253,895,0.452,0.360,N
1582,0.278,49,811,0.386,0.361,N
1437,0.278,242,795,0.489,0.384,N
1530,0.268,253,975,0.466,0.357,Y
1421,0.261,169,736,0.409,0.336,N
1422,0.240,406,1018,0.499,0.370,N
1308,0.270,118,611,0.411,0.323,N
1448,0.263,36,624,0.345,0.323,N
1276,0.254,179,657,0.404,0.312,N
1575,0.258,13,446,0.318,0.295,N
1339,0.239,134,601,0.366,0.361,N
1838,0.307,96,987,0.442,0.363,Y
1328,0.246,13,390,0.314,0.326,N
1558,0.272,178,829,0.441,0.390,N
1197,0.288,42,495,0.377,0.390,N
1401,0.259,335,1000,0.505,0.357,N
1596,0.267,91,502,0.379,0.316,N
1273,0.248,156,606,0.383,0.316,N
1494,0.270,108,717,0.403,0.319,N
1195,0.265,200,666,0.454,0.356,N
1442,0.289,70,575,0.396,0.349,N
1206,0.249,104,548,0.371,0.326,N
1474,0.265,9,318,0.314,0.382,Y
1702,0.278,265,1002,0.469,0.316,N
1166,0.252,168,603,0.418,0.312,N
1494,0.257,169,737,0.414,0.332,N
1526,0.263,32,715,0.357,0.314,N
1259,0.263,13,537,0.337,0.349,N
2158,0.344,40,736,0.432,0.455,Y
1321,0.262,31,555,0.360,0.311,N
1163,0.249,43,370,0.332,0.317,N
1270,0.250,101,606,0.370,0.343,N
1619,0.279,223,952,0.464,0.342,N
1354,0.278,29,446,0.362,0.351,N
1621,0.275,277,1152,0.483,0.362,N
1471,0.274,167,762,0.427,0.322,N
1488,0.272,80,571,0.384,0.327,N
1897,0.273,372,1035,0.505,0.323,N
1571,0.279,305,1017,0.500,0.378,N
1803,0.293,44,779,0.411,0.376,N
1651,0.273,94,545,0.393,0.328,N
1376,0.262,34,510,0.342,0.332,N
1488,0.288,98,533,0.420,0.371,N
1548,0.268,80,561,0.377,0.352,N
1696,0.287,44,695,0.401,0.402,N
1598,0.296,112,727,0.430,0.366,N
1906,0.309,64,581,0.420,0.364,N
1379,0.253,255,879,0.439,0.360,N
1479,0.278,233,865,0.482,0.358,N
1778,0.297,148,1020,0.452,0.342,Y
1469,0.257,78,506,0.355,0.296,N
1691,0.300,19,591,0.378,0.376,N
1208,0.255,42,390,0.344,0.342,N
1430,0.269,282,934,0.482,0.359,N
1716,0.284,126,658,0.411,0.315,N
1833,0.269,27,563,0.341,0.341,N
1806,0.289,22,696,0.361,0.339,N
1699,0.278,242,904,0.464,0.342,N
1393,0.259,20,696,0.341,0.323,N
1583,0.291,134,774,0.423,0.332,N
1604,0.275,139,802,0.402,0.327,N
1839,0.289,98,615,0.406,0.378,N
833,0.243,95,426,0.373,0.347,N
1553,0.268,255,870,0.463,0.352,N
1841,0.290,49,976,0.404,0.329,N
2024,0.270,193,793,0.432,0.328,N
1320,0.247,24,567,0.320,0.299,Y
1580,0.273,61,733,0.383,0.331,N
1393,0.253,292,976,0.472,0.361,N
1608,0.269,149,824,0.403,0.315,N
1779,0.295,68,789,0.415,0.380,Y
1576,0.267,27,762,0.360,0.330,N
1505,0.259,237,879,0.445,0.329,N
1591,0.270,214,887,0.440,0.321,N
1340,0.242,41,490,0.324,0.309,N
1677,0.299,204,890,0.464,0.369,N
1551,0.273,57,537,0.373,0.360,N
1576,0.275,186,756,0.433,0.328,N
1454,0.257,163,694,0.395,0.345,N
1455,0.249,20,551,0.315,0.281,N
1697,0.282,124,699,0.407,0.336,N
2083,0.302,66,1124,0.416,0.364,N
1768,0.291,135,929,0.433,0.337,Y
1566,0.282,211,888,0.459,0.332,N
1562,0.274,164,792,0.443,0.349,N
1203,0.218,7,447,0.264,0.281,N
1499,0.253,8,528,0.318,0.308,N
2134,0.302,57,855,0.409,0.358,N
1588,0.273,38,563,0.355,0.351,Y
1440,0.253,25,620,0.337,0.308,N
1087,0.228,92,525,0.344,0.295,N
1658,0.279,114,563,0.391,0.342,N
1614,0.290,80,686,0.391,0.396,N
2230,0.301,177,984,0.444,0.347,N
1777,0.307,31,427,0.381,0.345,N
2019,0.318,238,1164,0.534,0.395,Y
1318,0.265,149,740,0.417,0.385,N
1671,0.255,94,1019,0.369,0.325,N
1618,0.273,18,673,0.342,0.348,N
1674,0.282,299,1016,0.498,0.385,N
2296,0.342,106,1296,0.519,0.439,Y
1706,0.286,202,870,0.455,0.351,N
1774,0.292,26,566,0.384,0.373,N
1917,0.304,220,947,0.476,0.353,N
1484,0.268,235,948,0.465,0.365,N
1348,0.243,249,816,0.448,0.321,N
1364,0.234,31,621,0.314,0.316,N
1959,0.285,342,1227,0.503,0.343,N
1541,0.245,98,649,0.354,0.341,N
1882,0.290,42,932,0.373,0.364,N
1647,0.277,60,596,0.370,0.308,N
1936,0.295,434,1404,0.561,0.343,N
1443,0.261,240,882,0.439,0.355,N
1318,0.295,126,673,0.446,0.362,N
1502,0.258,190,812,0.410,0.343,N
1643,0.281,29,826,0.384,0.372,N
1447,0.253,315,981,0.481,0.345,N
1515,0.251,25,501,0.309,0.283,N
1776,0.274,223,1022,0.443,0.336,N
1561,0.272,238,874,0.477,0.364,N
1335,0.272,32,373,0.351,0.338,N
1906,0.299,274,1141,0.499,0.336,N
1729,0.280,94,884,0.394,0.343,N
2246,0.325,475,1434,0.608,0.414,N
1386,0.253,163,684,0.404,0.329,N
1379,0.270,11,318,0.314,0.343,N
1592,0.243,47,797,0.332,0.290,N
1613,0.268,42,577,0.361,0.350,N
1509,0.268,189,877,0.427,0.357,N
1958,0.302,90,977,0.440,0.383,N
1759,0.284,110,662,0.416,0.343,N
1766,0.298,279,1028,0.498,0.353,N
1395,0.272,125,656,0.403,0.343,N
2044,0.299,103,700,0.403,0.344,N
1859,0.286,247,1174,0.460,0.355,N
1889,0.290,28,443,0.351,0.368,N
1500,0.260,91,626,0.362,0.323,N
1578,0.259,161,703,0.420,0.315,N
1623,0.261,176,729,0.406,0.328,N
2193,0.341,154,1078,0.506,0.393,Y
1999,0.294,65,983,0.409,0.343,N
1396,0.242,162,654,0.372,0.299,N
1713,0.295,76,629,0.395,0.360,N
1376,0.230,15,554,0.306,0.279,N
1754,0.278,126,708,0.409,0.334,N
1731,0.283,79,543,0.390,0.359,N
1475,0.242,355,1072,0.470,0.337,N
1464,0.267,153,763,0.411,0.356,N
1604,0.272,104,591,0.386,0.332,N
2040,0.290,27,825,0.374,0.355,N
2214,0.325,361,1537,0.579,0.398,Y
1564,0.279,278,987,0.500,0.370,N
2282,0.324,106,1302,0.449,0.384,N
1840,0.292,178,1191,0.467,0.380,Y
1823,0.281,206,942,0.445,0.330,N
1863,0.285,401,1326,0.547,0.380,N
1706,0.287,100,830,0.419,0.390,N
1749,0.282,293,1086,0.481,0.367,N
1705,0.291,102,766,0.409,0.333,N
1254,0.267,102,531,0.394,0.329,N
1802,0.285,117,754,0.413,0.320,N
2606,0.322,104,660,0.419,0.365,N
1848,0.292,351,1119,0.534,0.378,N
2141,0.297,17,509,0.363,0.346,N
1415,0.264,155,808,0.402,0.357,N
2076,0.320,300,1201,0.543,0.379,Y
1838,0.299,75,838,0.425,0.371,N
1615,0.273,235,901,0.450,0.336,N
1841,0.277,75,951,0.408,0.335,N
1724,0.268,284,1027,0.454,0.325,N
1619,0.278,130,745,0.412,0.334,N
1861,0.293,85,636,0.389,0.342,N
1710,0.272,239,983,0.447,0.347,N
1345,0.253,11,594,0.316,0.340,N
1530,0.247,197,697,0.403,0.343,N
1779,0.274,325,1072,0.488,0.338,N
1358,0.269,57,503,0.363,0.345,N
1447,0.244,245,923,0.420,0.311,N
1093,0.233,96,471,0.347,0.319,N
1887,0.290,74,793,0.408,0.357,N
1671,0.266,286,962,0.454,0.320,N
1797,0.261,29,794,0.327,0.309,N
2064,0.282,334,1243,0.496,0.360,N
1949,0.281,54,550,0.358,0.335,N
1591,0.262,200,758,0.412,0.340,N
1843,0.296,360,1200,0.544,0.409,N
1666,0.267,305,983,0.487,0.343,N
1990,0.303,18,552,0.385,0.378,N
1705,0.270,264,1026,0.462,0.332,N
1775,0.266,252,1021,0.442,0.325,N
1562,0.263,61,571,0.345,0.316,N
1748,0.278,45,840,0.372,0.345,N
1369,0.247,188,826,0.409,0.354,N
2304,0.318,207,1085,0.477,0.360,Y
1991,0.294,124,997,0.430,0.331,N
1659,0.270,12,538,0.334,0.356,N
2153,0.307,222,1099,0.471,0.358,N
1951,0.265,64,736,0.361,0.339,N
1920,0.285,21,631,0.347,0.368,N
1969,0.313,202,1209,0.486,0.382,Y
2054,0.306,78,870,0.414,0.367,Y
2044,0.287,40,726,0.373,0.386,N
1585,0.284,147,830,0.431,0.386,N
1440,0.254,111,604,0.382,0.302,N
1344,0.258,87,481,0.358,0.319,N
1687,0.264,22,709,0.364,0.306,N
1854,0.291,49,630,0.378,0.375,N
1543,0.245,271,919,0.434,0.327,N
1696,0.274,47,568,0.351,0.319,N
2040,0.289,90,640,0.393,0.332,N
1941,0.292,140,1075,0.428,0.370,N
1687,0.262,31,782,0.353,0.308,N
1910,0.299,192,1058,0.458,0.355,N
1420,0.282,58,601,0.391,0.398,N
1766,0.270,92,792,0.395,0.332,N
2008,0.305,163,860,0.442,0.365,N
1986,0.277,297,1143,0.466,0.335,N
1073,0.287,7,308,0.351,0.372,N
1609,0.257,146,567,0.379,0.338,N
1671,0.263,155,614,0.388,0.349,N
1597,0.269,150,668,0.416,0.296,N
1613,0.258,43,656,0.335,0.325,N
2103,0.318,96,926,0.453,0.406,Y
1883,0.278,271,1116,0.470,0.340,N
1929,0.273,71,984,0.360,0.325,N
1934,0.311,116,992,0.461,0.359,N
1453,0.270,36,480,0.346,0.318,N
1795,0.276,307,1128,0.478,0.363,N
2063,0.310,64,1166,0.442,0.370,N
2253,0.301,16,736,0.355,0.347,N
1660,0.263,54,593,0.337,0.306,N
2104,0.275,26,867,0.341,0.346,Y
2089,0.289,126,757,0.411,0.333,N
1664,0.273,275,1065,0.474,0.374,N
1926,0.289,120,999,0.430,0.357,N
1826,0.295,184,989,0.447,0.364,N
1651,0.256,321,1008,0.468,0.336,N
1602,0.259,53,615,0.341,0.349,N
2092,0.303,87,671,0.408,0.357,N
1661,0.256,210,761,0.425,0.362,N
2596,0.346,101,1464,0.505,0.411,N
1963,0.298,186,1023,0.459,0.389,N
1996,0.292,43,970,0.403,0.345,N
1730,0.266,374,1159,0.489,0.359,N
1506,0.284,59,710,0.401,0.393,N
1355,0.224,60,461,0.300,0.280,N
1897,0.291,287,1078,0.502,0.400,N
2156,0.309,294,1236,0.502,0.369,N
1886,0.268,332,1024,0.471,0.353,N
1796,0.285,213,976,0.449,0.350,N
2077,0.287,41,611,0.384,0.366,N
2220,0.317,65,1194,0.451,0.402,Y
1792,0.306,190,990,0.460,0.358,Y
1418,0.261,118,614,0.377,0.316,N
1884,0.276,320,1105,0.476,0.321,N
1594,0.260,109,738,0.389,0.323,N
1692,0.277,266,1178,0.469,0.364,N
2074,0.290,151,874,0.411,0.343,N
2051,0.296,288,1283,0.506,0.393,N
2042,0.288,223,1247,0.461,0.362,Y
2018,0.307,72,951,0.429,0.354,N
1878,0.268,378,1218,0.489,0.317,N
1751,0.272,43,848,0.356,0.352,N
1941,0.281,90,998,0.408,0.341,N
1626,0.263,583,1414,0.588,0.394,N
2127,0.277,91,1055,0.383,0.335,N
2299,0.321,128,1065,0.474,0.386,Y
1803,0.271,160,758,0.404,0.360,N
1692,0.281,28,734,0.363,0.378,Y
2011,0.312,359,1337,0.562,0.397,Y
1757,0.264,226,840,0.441,0.331,N
1877,0.266,462,1407,0.515,0.353,N
1703,0.267,318,1147,0.475,0.354,N
1789,0.263,256,992,0.439,0.318,N
1897,0.270,140,946,0.391,0.316,N
1366,0.262,265,899,0.477,0.356,N
1774,0.273,382,1119,0.499,0.352,N
2192,0.298,241,1125,0.466,0.337,N
1726,0.265,151,706,0.398,0.338,N
2226,0.312,49,1055,0.413,0.391,Y
2063,0.284,288,1284,0.472,0.340,N
1055,0.269,37,369,0.349,0.318,N
1700,0.270,84,729,0.377,0.334,N
2064,0.306,105,1023,0.437,0.383,N
1694,0.276,203,890,0.438,0.352,N
1862,0.277,252,1043,0.445,0.357,N
1501,0.271,97,645,0.388,0.337,N
2127,0.308,427,1335,0.545,0.377,N
1884,0.278,164,824,0.420,0.325,N
2004,0.279,32,591,0.358,0.355,Y
1599,0.276,91,580,0.389,0.341,N
2158,0.291,57,941,0.391,0.319,N
1665,0.250,291,964,0.436,0.366,N
2345,0.304,47,839,0.407,0.367,Y
1931,0.289,27,934,0.384,0.355,N
2131,0.303,38,850,0.406,0.389,N
2138,0.286,39,707,0.366,0.330,N
1564,0.257,189,773,0.403,0.347,N
2193,0.301,57,642,0.397,0.394,N
1575,0.236,442,1210,0.478,0.302,N
1934,0.263,208,846,0.419,0.319,N
1725,0.257,118,689,0.367,0.311,N
2416,0.320,58,1273,0.435,0.362,Y
2134,0.281,20,458,0.331,0.330,N
1959,0.281,331,1078,0.495,0.365,N
2134,0.303,332,1287,0.516,0.369,N
2077,0.281,316,1287,0.490,0.364,N
1804,0.250,9,436,0.300,0.356,N
1513,0.250,134,620,0.382,0.302,N
1547,0.261,51,652,0.337,0.326,Y
2003,0.283,328,1070,0.494,0.355,N
2273,0.285,358,1363,0.483,0.339,N
1700,0.249,278,968,0.444,0.338,N
1889,0.265,65,558,0.355,0.360,N
2227,0.280,346,1215,0.476,0.331,N
1832,0.277,336,1122,0.485,0.337,N
1493,0.248,95,624,0.348,0.327,N
1688,0.249,24,527,0.319,0.285,N
1944,0.261,15,823,0.317,0.311,N
2376,0.323,68,981,0.446,0.369,Y
1960,0.283,306,1111,0.484,0.360,N
1579,0.251,80,607,0.344,0.325,N
2054,0.277,192,875,0.436,0.352,N
2176,0.303,284,1205,0.497,0.384,N
1925,0.274,348,1239,0.480,0.338,N
1830,0.263,217,920,0.415,0.307,N
2061,0.289,170,1195,0.440,0.375,N
2100,0.285,17,617,0.353,0.353,N
2532,0.316,69,1014,0.417,0.385,N
2471,0.324,205,1383,0.505,0.362,Y
2055,0.272,123,854,0.390,0.317,N
1619,0.264,241,775,0.443,0.361,N
2020,0.287,314,1092,0.489,0.366,N
2160,0.313,383,1311,0.565,0.400,N
1875,0.273,215,884,0.442,0.355,N
1687,0.260,107,708,0.364,0.309,N
1782,0.252,324,1070,0.440,0.313,N
1912,0.297,236,1179,0.489,0.370,Y
2313,0.310,219,1422,0.500,0.369,Y
1764,0.264,28,619,0.338,0.287,N
2459,0.316,27,598,0.393,0.353,Y
2231,0.294,22,688,0.358,0.371,N
1826,0.267,340,1180,0.476,0.379,N
2467,0.317,138,1322,0.486,0.406,Y
2020,0.277,193,1007,0.425,0.343,N
2183,0.283,422,1336,0.499,0.359,N
2121,0.294,153,1052,0.405,0.329,N
2643,0.311,62,1203,0.423,0.357,Y
2107,0.291,352,1206,0.510,0.363,N
1981,0.292,251,1005,0.470,0.365,N
2087,0.285,199,976,0.443,0.347,N
1833,0.266,224,864,0.424,0.371,N
2524,0.330,110,1183,0.479,0.377,Y
1949,0.284,393,1199,0.527,0.376,N
1876,0.259,48,740,0.335,0.336,N
2138,0.291,89,679,0.416,0.364,N
2502,0.306,118,1093,0.444,0.376,N
2326,0.303,56,722,0.401,0.360,N
2165,0.284,79,710,0.391,0.355,N
1316,0.228,20,389,0.280,0.300,N
1913,0.275,138,775,0.395,0.333,N
1570,0.237,124,648,0.351,0.275,N
1790,0.254,242,1039,0.408,0.352,N
1925,0.271,339,1271,0.471,0.344,N
1982,0.285,214,1071,0.443,0.347,N
1993,0.273,325,1163,0.457,0.332,N
1977,0.293,95,920,0.416,0.372,N
2011,0.281,234,978,0.439,0.364,N
2060,0.289,204,1106,0.440,0.362,N
1992,0.268,271,1051,0.435,0.333,N
2143,0.287,282,1141,0.462,0.349,N
2038,0.280,473,1512,0.546,0.383,N
1981,0.278,242,1013,0.432,0.347,N
1776,0.266,339,1187,0.462,0.361,N
1980,0.278,267,1111,0.446,0.329,N
2105,0.288,281,1269,0.470,0.363,N
2420,0.320,354,1345,0.545,0.419,N
2247,0.312,309,1261,0.515,0.418,N
2812,0.340,102,1175,0.468,0.379,Y
1963,0.265,195,860,0.416,0.343,N
2850,0.338,75,952,0.446,0.415,N
2031,0.267,354,1244,0.459,0.313,N
1921,0.273,370,1274,0.487,0.359,N
1868,0.261,316,1139,0.445,0.354,N
2336,0.297,287,1257,0.477,0.381,N
1931,0.252,14,527,0.312,0.314,N
1885,0.267,294,1182,0.444,0.362,N
2096,0.271,70,728,0.369,0.304,N
2029,0.282,246,1065,0.436,0.388,N
2101,0.286,206,852,0.433,0.328,N
2091,0.290,191,1097,0.454,0.351,N
2195,0.288,75,744,0.378,0.366,N
2150,0.281,74,992,0.403,0.346,N
2169,0.291,83,1176,0.427,0.364,N
2182,0.296,162,1071,0.436,0.384,N
2452,0.298,382,1451,0.502,0.352,Y
1820,0.271,377,1103,0.488,0.374,N
1639,0.243,68,594,0.321,0.314,N
2143,0.296,152,859,0.431,0.359,N
1933,0.254,434,1289,0.486,0.337,N
2428,0.299,130,781,0.423,0.372,N
1968,0.280,429,1405,0.522,0.403,N
2212,0.277,131,1049,0.406,0.359,N
1904,0.258,110,723,0.367,0.312,N
1863,0.254,139,683,0.371,0.394,N
2010,0.279,287,1173,0.472,0.358,N
2362,0.285,304,1282,0.457,0.336,N
2150,0.285,358,1430,0.482,0.348,Y
2084,0.274,56,813,0.378,0.375,N
2932,0.341,33,810,0.415,0.388,Y
2285,0.301,170,1424,0.468,0.390,Y
2351,0.297,379,1365,0.499,0.350,Y
2405,0.307,20,1063,0.381,0.343,N
2250,0.271,53,1067,0.372,0.362,Y
2116,0.295,407,1333,0.540,0.380,Y
2590,0.318,449,1496,0.553,0.379,N
2660,0.342,183,1539,0.520,0.410,Y
2314,0.297,449,1529,0.540,0.408,N
2327,0.286,140,923,0.398,0.343,N
2207,0.285,41,585,0.376,0.326,N
1954,0.264,195,918,0.395,0.365,N
2143,0.269,63,810,0.370,0.340,N
2276,0.288,94,844,0.399,0.347,N
2048,0.267,389,1376,0.476,0.342,Y
2004,0.265,253,1110,0.423,0.346,N
2023,0.266,160,819,0.389,0.374,N
2016,0.260,138,853,0.367,0.299,Y
2386,0.285,282,1061,0.452,0.344,Y
2721,0.340,493,1995,0.632,0.447,Y
2251,0.272,227,967,0.415,0.318,N
2299,0.290,79,1078,0.397,0.341,N
2170,0.269,126,885,0.377,0.366,Y
2352,0.298,71,1034,0.420,0.378,N
2109,0.279,185,972,0.415,0.334,N
2111,0.265,398,1266,0.469,0.346,N
2340,0.295,198,960,0.444,0.371,Y
1926,0.263,46,627,0.338,0.310,N
2152,0.268,306,1322,0.450,0.315,N
2184,0.259,396,1445,0.464,0.306,N
2574,0.308,29,586,0.382,0.396,Y
2007,0.261,75,598,0.352,0.321,N
2252,0.256,34,1135,0.335,0.289,N
2254,0.295,79,856,0.396,0.333,N
2210,0.276,54,687,0.351,0.373,N
2342,0.297,252,1185,0.452,0.365,N
2085,0.257,260,1125,0.416,0.316,N
2375,0.290,54,578,0.376,0.377,N
2927,0.334,307,1827,0.535,0.380,Y
2449,0.289,84,773,0.387,0.337,Y
